"month_year","average_rating"
"November  2021","4.04"
"December  2021","3.96"
"January   2022","4.05"
"February  2022","4.12"
"March     2022","4.21"
"April     2022","4.06"
"May       2022","3.52"
"June      2022","4.29"
"July      2022","4.24"
"August    2022","4.16"
"September 2022","3.96"
"October   2022","3.89"
"November  2022","3.70"
"December  2022","3.95"
"January   2023","3.89"
"February  2023","3.77"
"March     2023","3.68"
"April     2023","3.55"
"May       2023","3.71"
"June      2023","3.72"
"July      2023","4.02"
"August    2023","3.62"
"September 2023","3.65"
"October   2023","3.60"
"November  2023","3.54"
"December  2023","3.33"
"January   2024","3.66"
"February  2024","3.64"
